FECHA_INGRESO,Casos
2022-01-01,3783
2022-01-02,7436
2022-01-03,35792
2022-01-04,53423
2022-01-05,70784
2022-01-06,78328
2022-01-07,86596
2022-01-08,43040
2022-01-09,34077
2022-01-10,116676
2022-01-11,117927
2022-01-12,120936
2022-01-13,116701
2022-01-14,115256
2022-01-15,50556
2022-01-16,35886
2022-01-17,117937
2022-01-18,110335
2022-01-19,105142
2022-01-20,97779
2022-01-21,90674
2022-01-22,40704
2022-01-23,28761
2022-01-24,94092
2022-01-25,79347
2022-01-26,73126
2022-01-27,65731
2022-01-28,61630
2022-01-29,27914
2022-01-30,20067
2022-01-31,62529
2022-02-01,50043
2022-02-02,46457
2022-02-03,41034
2022-02-04,37888
2022-02-05,17701
2022-02-06,11719
2022-02-07,16372
2022-02-08,36922
2022-02-09,28840
2022-02-10,26994
2022-02-11,25565
2022-02-12,13119
2022-02-13,9436
2022-02-14,26340
2022-02-15,23245
2022-02-16,21985
2022-02-17,22587
2022-02-18,20814
2022-02-19,10478
2022-02-20,8122
2022-02-21,21308
2022-02-22,18295
2022-02-23,17339
2022-02-24,16675
2022-02-25,14697
2022-02-26,6814
2022-02-27,5652
2022-02-28,17191
2022-03-01,13265
2022-03-02,12925
2022-03-03,13618
2022-03-04,11870
2022-03-05,5738
2022-03-06,4415
2022-03-07,13090
2022-03-08,11260
2022-03-09,10686
2022-03-10,10549
2022-03-11,9858
2022-03-12,4559
2022-03-13,3982
2022-03-14,12312
2022-03-15,10795
2022-03-16,9513
2022-03-17,9607
2022-03-18,8923
2022-03-19,4141
2022-03-20,3023
2022-03-21,4620
2022-03-22,11595
2022-03-23,10281
2022-03-24,9879
2022-03-25,8432
2022-03-26,4195
2022-03-27,3287
2022-03-28,11230
2022-03-29,9970
2022-03-30,9198
2022-03-31,8714
2022-04-01,7927
2022-04-02,3768
2022-04-03,3186
2022-04-04,10338
2022-04-05,9379
2022-04-06,8573
2022-04-07,8532
2022-04-08,7795
2022-04-09,3853
2022-04-10,3105
2022-04-11,8178
2022-04-12,7579
2022-04-13,6458
2022-04-14,2696
2022-04-15,2153
2022-04-16,2439
2022-04-17,2280
2022-04-18,8505
2022-04-19,7178
2022-04-20,7037
2022-04-21,6574
2022-04-22,6111
2022-04-23,3312
2022-04-24,3288
2022-04-25,8108
2022-04-26,6442
2022-04-27,6353
2022-04-28,6030
2022-04-29,5424
2022-04-30,2724
2022-05-01,2437
2022-05-02,7427
2022-05-03,6574
2022-05-04,6346
2022-05-05,5235
2022-05-06,5995
2022-05-07,2636
2022-05-08,2433
2022-05-09,7029
2022-05-10,4017
2022-05-11,7095
2022-05-12,6641
2022-05-13,6171
2022-05-14,2963
2022-05-15,2779
2022-05-16,7906
2022-05-17,7907
2022-05-18,7845
2022-05-19,7869
2022-05-20,7305
2022-05-21,3351
2022-05-22,3187
2022-05-23,9667
2022-05-24,9131
2022-05-25,9258
2022-05-26,8780
2022-05-27,8374
2022-05-28,4084
2022-05-29,3819
2022-05-30,11955
2022-05-31,11334
2022-06-01,11739
2022-06-02,11110
2022-06-03,11222
2022-06-04,5466
2022-06-05,4607
2022-06-06,16293
2022-06-07,15422
2022-06-08,16730
2022-06-09,16112
2022-06-10,15958
2022-06-11,7256
2022-06-12,5825
2022-06-13,21193
2022-06-14,20149
2022-06-15,20774
2022-06-16,20551
2022-06-17,21031
2022-06-18,9046
2022-06-19,7172
2022-06-20,29447
2022-06-21,29121
2022-06-22,30917
2022-06-23,31509
2022-06-24,32492
2022-06-25,13867
2022-06-26,12140
2022-06-27,43723
2022-06-28,42536
2022-06-29,42296
2022-06-30,42943
2022-07-01,41842
2022-07-02,17450
2022-07-03,14711
2022-07-04,54407
2022-07-05,53141
2022-07-06,53236
2022-07-07,53672
2022-07-08,50436
2022-07-09,20598
2022-07-10,17169
2022-07-11,63347
2022-07-12,57898
2022-07-13,55077
2022-07-14,52434
2022-07-15,48282
2022-07-16,18809
2022-07-17,15139
2022-07-18,56542
2022-07-19,48889
2022-07-20,47175
2022-07-21,42825
2022-07-22,38729
2022-07-23,15218
2022-07-24,11839
2022-07-25,42903
2022-07-26,34969
2022-07-27,31814
2022-07-28,28381
2022-07-29,25176
2022-07-30,10366
2022-07-31,8734
2022-08-01,30204
2022-08-02,24278
2022-08-03,22731
2022-08-04,21424
2022-08-05,19049
2022-08-06,7537
2022-08-07,6354
2022-08-08,23128
2022-08-09,18036
2022-08-10,16612
2022-08-11,15163
2022-08-12,13630
2022-08-13,5483
2022-08-14,4765
2022-08-15,15930
2022-08-16,12612
2022-08-17,11682
2022-08-18,10919
2022-08-19,10016
2022-08-20,4315
2022-08-21,4211
2022-08-22,13025
2022-08-23,10595
2022-08-24,10068
2022-08-25,9324
2022-08-26,8358
2022-08-27,3471
2022-08-28,3430
2022-08-29,10851
2022-08-30,9505
2022-08-31,8517
2022-09-01,8223
2022-09-02,7256
2022-09-03,3184
2022-09-04,2990
2022-09-05,10428
2022-09-06,9068
2022-09-07,8390
2022-09-08,8070
2022-09-09,7505
2022-09-10,3140
2022-09-11,3087
2022-09-12,11291
2022-09-13,9737
2022-09-14,8596
2022-09-15,4624
2022-09-16,2291
2022-09-17,3119
2022-09-18,2857
2022-09-19,11085
2022-09-20,9980
2022-09-21,9184
2022-09-22,8482
2022-09-23,7115
2022-09-24,2903
2022-09-25,2794
2022-09-26,9433
2022-09-27,7923
2022-09-28,7235
2022-09-29,6363
2022-09-30,5336
2022-10-01,2401
2022-10-02,2254
2022-10-03,7785
2022-10-04,6981
2022-10-05,6231
2022-10-06,5407
2022-10-07,4391
2022-10-08,1868
2022-10-09,1644
2022-10-10,3293
2022-10-11,2
